IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",102,75,75,"75",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.07227679
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",102,75,75,"75",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.0595586
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",166,76,76,"76",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.07936748
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",166,76,76,"76",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.06570407
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",167,77,77,"77",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.08721884
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",167,77,77,"77",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.07259239
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",168,78,78,"78",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.09593222
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",168,78,78,"78",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.08036766
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",169,79,79,"79",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.10555734
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",169,79,79,"79",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.08911965
